Participant	Stimulus	PostV	PostA	Part	Cont	Inte	Relv
1	Nt1	1	4	4	3	3	4
1	Po1	0	3	3	3	3	3
1	Po2	-1	4	7	7	5	6
1	Po3	-1	2	2	2	2	2
1	Po9	0	3	3	3	3	3
1	Ne4	0	2	3	2	2	2
1	Ne6	0	1	1	1	1	1
1	Ne7	-1	2	4	3	2	4
1	Ne8	0	3	3	3	3	3
1	Ne9	0	1	1	1	1	1
2	Nt1	0	4	2	2	3	3
2	Po1	0	4	4	2	2	1
2	Po2	6	7	1	7	7	6
2	Po3	5	5	4	6	7	6
2	Po9	4	4	1	3	4	5
2	Ne4	-6	4	1	3	5	2
2	Ne6	0	4	5	5	5	5
2	Ne7	-6	4	2	2	4	2
2	Ne8	-4	4	5	5	4	7
2	Ne9	-2	4	4	3	4	2
3	Nt1	0	4	2	2	2	4
3	Po1	4	5	6	6	6	5
3	Po2	5	5	2	4	5	4
3	Po3	6	5	3	5	6	5
3	Po9	2	3	1	2	3	2
3	Ne4	-6	5	1	3	5	4
3	Ne6	-4	2	1	1	5	1
3	Ne7	-6	4	1	2	3	1
3	Ne8	-2	4	1	2	3	3
3	Ne9	-6	4	1	1	3	1
4	Nt1	0	2	1	4	4	4
4	Po1	4	5	2	6	5	5
4	Po2	2	4	1	5	5	3
4	Po3	3	4	1	5	5	4
4	Po9	0	3	1	1	2	4
4	Ne4	-2	4	4	5	5	5
4	Ne6	-1	4	1	4	5	4
4	Ne7	-1	2	1	1	1	2
4	Ne8	0	3	2	4	3	4
4	Ne9	1	4	1	2	2	2
5	Nt1	3	2	3	3	4	4
5	Po1	-2	4	1	1	1	2
5	Po2	4	3	6	6	6	6
5	Po3	2	6	6	6	6	5
5	Po9	4	4	6	6	6	6
5	Ne4	-4	4	4	4	5	2
5	Ne6	3	5	5	5	5	5
5	Ne7	-2	4	4	4	4	2
5	Ne8	-2	4	4	5	5	4
5	Ne9	-2	6	3	6	6	4
6	Nt1	0	4	1	1	2	1
6	Po1	3	4	2	4	5	2
6	Po2	5	2	1	3	5	3
6	Po3	5	3	1	2	4	3
6	Po9	4	3	1	1	4	5
6	Ne4	-4	5	1	2	5	1
6	Ne6	-4	4	1	1	5	2
6	Ne7	-3	5	1	5	5	2
6	Ne8	-3	4	1	2	2	1
6	Ne9	-3	5	1	5	5	1
7	Nt1	2	2	2	2	2	2
7	Po1	3	4	3	5	5	2
7	Po2	4	4	2	3	2	2
7	Po3	3	4	1	1	1	2
7	Po9	3	4	2	2	3	3
7	Ne4	-3	4	2	3	3	1
7	Ne6	0	4	2	4	3	2
7	Ne7	1	3	2	5	5	2
7	Ne8	-2	4	2	3	5	4
7	Ne9	-1	4	1	2	2	2
8	Nt1	0	1	1	1	1	1
8	Po1	2	1	4	5	4	4
8	Po2	2	2	1	1	2	5
8	Po3	1	1	1	1	1	4
8	Po9	4	1	3	5	4	6
8	Ne4	-4	3	3	5	5	3
