Participant	Stimulus	StimType	StimNum	PostV	PostA	PreV	PreA	t	dt	p
P04	Pos2	Pos	2	11	1	11	4	179.048	179.048	1
P04	Neg4	Neg	4	4	4	11	1	328.328	149.28	4
P04	Neg1	Neg	1	4	5	4	4	485.396	157.068	4
P04	Pos4	Pos	4	13	1	4	5	623.448	138.052	2
P04	Pos3	Pos	3	12	2	13	1	852.06	228.612	2
P04	Neg5	Neg	5	2	4	12	2	1034.368	182.308	1
P04	Neu1	Neu	1	8	4	2	4	1179.908	145.54	1
P05	Neu1	Neu	1	8	3	12	6	243.28	243.28	2
P05	Neg4	Neg	4	2	6	8	3	449.008	205.728	4
P05	Pos2	Pos	2	13	6	2	6	655.104	206.096	5
P05	Pos4	Pos	4	14	1	13	6	820.316	165.212	4
P05	Pos3	Pos	3	14	5	14	1	1080.744	260.428	4
P05	Neg1	Neg	1	4	6	14	5	1284.084	203.34	6
P05	Neg5	Neg	5	2	6	4	6	1509.596	225.512	6
P06	Neg5	Neg	5	2	5	9	5	183.448	183.448	4
P06	Pos4	Pos	4	12	5	2	5	318.748	135.3	3
P06	Pos2	Pos	2	14	7	12	5	494.356	175.608	6
P06	Neg1	Neg	1	4	7	14	7	637.496	143.14	5
P06	Neg4	Neg	4	4	5	4	7	770.672	133.176	3
P06	Neu1	Neu	1	8	3	4	5	901.988	131.316	1
P06	Pos3	Pos	3	14	7	8	3	1096.132	194.144	5
P07	Neu1	Neu	1	9	2	10	5	241.9832	241.9832	3
P07	Pos3	Pos	3	13	6	9	2	615.0787	373.0955	4
P07	Pos2	Pos	2	11	3	13	6	849.5743	234.4955	3
P07	Neg4	Neg	4	5	3	11	3	1170.414	320.84	2
P07	Pos4	Pos	4	6	4	5	3	1437.158	266.744	1
P07	Neg1	Neg	1	7	5	6	4	1720.410	283.252	3
P07	Neg5	Neg	5	3	5	7	5	2012.862	292.452	3
P09	Pos3	Pos	3	9	4	11	3	173.272	173.272	1
P09	Neg5	Neg	5	4	6	9	4	353.904	180.632	1
P09	Pos4	Pos	4	13	2	4	6	503.184	149.28	1
P09	Pos2	Pos	2	11	2	13	2	646.848	143.664	2
P09	Neg1	Neg	1	6	6	11	2	818.188	171.34	3
P09	Neg4	Neg	4	6	5	6	6	944.308	126.12	2
P09	Neu1	Neu	1	11	2	6	5	1063.152	118.844	1
P10	Neu1	Neu	1	8	2	12	5	159.58	159.58	1
P10	Pos3	Pos	3	13	3	8	2	444.528	284.948	5
P10	Pos2	Pos	2	13	5	13	3	716.312	271.784	5
P10	Neg4	Neg	4	11	5	13	5	871.652	155.34	5
P10	Pos4	Pos	4	14	4	11	5	1080.752	209.1	5
P10	Neg1	Neg	1	14	6	14	4	1360.216	279.464	1
P10	Neg5	Neg	5	8	6	14	6	1683.28	323.064	2
P11	Pos2	Pos	2	14	7	12	6	160.5241	160.5241	7
P11	Pos4	Pos	4	12	6	14	7	369.3721	208.848	5
P11	Neu1	Neu	1	12	4	12	6	616.6521	247.28	5
P11	Pos3	Pos	3	14	6	12	4	902.048	285.396	7
P11	Neg5	Neg	5	2	7	14	6	1135.684	233.636	5
P11	Neg1	Neg	1	3	5	2	7	1328.424	192.74	5
P11	Neg4	Neg	4	4	5	3	5	1552.304	223.88	3
P12	Neg4	Neg	4	5	4	10	6	104.336	104.336	6
P12	Pos2	Pos	2	10	5	5	4	233.012	128.676	6
P12	Neg5	Neg	5	6	3	10	5	320.168	87.156	4
P12	Neg1	Neg	1	7	4	6	3	435.28	115.112	7
P12	Pos3	Pos	3	9	6	7	4	562.728	127.448	5
P12	Neu1	Neu	1	8	5	9	6	595.596	32.868	3
P12	Pos4	Pos	4	10	5	8	5	681.536	85.94	4
P13	Pos2	Pos	2	10	5	9	4	171.736	171.736	1
P13	Neg1	Neg	1	6	5	10	5	328.372	156.636	2
P13	Pos3	Pos	3	8	3	6	5	539.968	211.596	1
P13	Neg5	Neg	5	3	5	8	3	703.18	163.212	1
P13	Neg4	Neg	4	6	3	3	5	881.62	178.44	1
P13	Pos4	Pos	4	11	5	6	3	1017.688	136.068	6
P13	Neu1	Neu	1	4	4	11	5	1166.328	148.64	1
P14	Pos3	Pos	3	13	6	8	3	281.1655	281.1655	1
P14	Pos4	Pos	4	14	4	13	6	533.5815	252.416	3
P14	Neg1	Neg	1	8	7	14	4	764.1295	230.548	6
P14	Pos2	Pos	2	14	6	8	7	1027.693	263.564	3
P14	Neu1	Neu	1	12	5	14	6	1188.808	161.1147	3
P14	Neg5	Neg	5	3	5	12	5	1450.868	262.06	3
P14	Neg4	Neg	4	3	5	3	5	1664.64	213.772	5
P15	Neu1	Neu	1	7	5	8	5	137.776	137.776	1
P15	Pos4	Pos	4	12	6	7	5	280.068	142.292	1
P15	Neg5	Neg	5	2	5	12	6	409.068	129	1
P15	Neg4	Neg	4	3	2	2	5	518.84	109.772	1
P15	Pos2	Pos	2	13	3	3	2	680.292	161.452	1
P15	Neg1	Neg	1	8	1	13	3	800.48	120.188	1
P15	Pos3	Pos	3	14	2	8	1	1067.372	266.892	1
P16	Neg4	Neg	4	2	5	10	5	186.98	186.98	6
P16	Pos2	Pos	2	13	2	2	5	432.052	245.072	4
P16	Neg5	Neg	5	3	2	13	2	651.072	219.02	6
P16	Neg1	Neg	1	3	6	3	2	900.512	249.44	6
P16	Pos3	Pos	3	10	3	3	6	1208.14	307.628	3
P16	Neu1	Neu	1	8	1	10	3	1361.992	153.852	2
P16	Pos4	Pos	4	12	6	8	1	1545.004	183.012	6
P17	Neg4	Neg	4	3	4	8	5	129.88	129.88	2
P17	Pos2	Pos	2	14	5	3	4	281.284	151.404	2
P17	Neg5	Neg	5	7	6	14	5	418.12	136.836	7
P17	Neg1	Neg	1	9	7	7	6	572.248	154.128	7
P17	Pos3	Pos	3	14	1	9	7	798.672	226.424	2
P17	Neu1	Neu	1	8	4	14	1	898.08	99.408	1
P17	Pos4	Pos	4	13	5	8	4	1042.26	144.18	7
P18	Pos4	Pos	4	11	5	5	3	152.576	152.576	2
P18	Neg1	Neg	1	11	6	11	5	342.564	189.988	6
P18	Pos3	Pos	3	8	4	11	6	589.816	247.252	3
P18	Pos2	Pos	2	7	3	8	4	764.96	175.144	3
P18	Neu1	Neu	1	10	2	7	3	941.348	176.388	1
P18	Neg4	Neg	4	5	3	10	2	1083.076	141.728	5
P18	Neg5	Neg	5	3	2	5	3	1244.16	161.084	1
P19	Pos4	Pos	4	14	6	12	7	518.328	518.328	7
P19	Neu1	Neu	1	11	2	14	6	727.524	209.196	1
P19	Neg5	Neg	5	2	6	11	2	1109.784	382.26	6
P19	Pos3	Pos	3	14	5	2	6	1608.696	498.912	6
P19	Neg1	Neg	1	5	4	14	5	1923.316	314.62	7
P19	Neg4	Neg	4	2	7	5	4	2177.584	254.268	2
P19	Pos2	Pos	2	14	1	2	7	2477.728	300.144	6
P20	Neg4	Neg	4	3	6	12	5	294.064	294.064	7
P20	Pos4	Pos	4	14	2	3	6	573.176	279.112	1
P20	Neg5	Neg	5	6	6	14	2	881.028	307.852	7
P20	Neu1	Neu	1	8	3	6	6	1098.944	217.916	1
P20	Pos2	Pos	2	14	6	8	3	1311.621	212.6774	2
P20	Pos3	Pos	3	14	2	14	6	1615.047	303.4259	1
P20	Neg1	Neg	1	8	4	14	2	1855.355	240.308	7
P21	Pos4	Pos	4	8	5	8	5	239.68	239.68	4
P21	Neg1	Neg	1	6	6	8	5	459.384	219.704	7
P21	Neg5	Neg	5	4	6	6	6	728.352	268.968	5
P21	Pos2	Pos	2	5	4	4	6	971.492	243.14	1
