Participant	Stimulus	PostV	PostA	Part	Cont	Inte	Relv
1	Neg1	-4	5	0.5	0.8333333	6	5
2	Neg1	-4	6	0.8333333	0.8333333	6	2
3	Neg1	-4	7	0.6666667	0.6666667	6	4
4	Neg1	-1	5	0.3333333	0.3333333	3	2
5	Neg1	-2	6	0.3333333	0.6666667	6	2
6	Neg1	6	6	0	0	5	7
7	Neg1	-5	5	0.6666667	0.5	6	5
8	Neg1	-1	4	1	0.8333333	5	5
9	Neg1	-2	5	0.1666667	0.1666667	5	2
10	Neg1	0	7	0.8333333	0.8333333	7	6
11	Neg1	0	1	0	0	1	1
12	Neg1	-5	6	0.8333333	0.6666667	5	5
13	Neg1	1	7	1	1	7	7
14	Neg1	3	6	0.8333333	0.8333333	7	4
15	Neg1	-3	4	1	0.8333333	6	4
16	Neg1	0	4	1	0.1666667	6	6
17	Neg1	-2	6	1	1	7	3
18	Neg1	3	2	0.3333333	0.5	6	1
19	Neg1	-3	4	0.1666667	0.3333333	4	3
20	Neg1	-2	7	1	0.1666667	3	1
21	Neg1	0	6	1	1	7	2
22	Neg1	-2	4	0	0	5	4
23	Neg1	0	7	1	1	7	7
24	Neg1	-3	6	0.3333333	0.8333333	6	2
25	Neg1	-6	6	0	0	3	3
26	Neg1	3	2	0	0.6666667	3	1
27	Neg1	6	2	1	0.1666667	5	4
28	Neg1	-2	6	1	0.6666667	6	6
29	Neg1	2	5	1	0.8333333	6	5
30	Neg1	-6	1	0	0	1	1
31	Neg1	-3	7	0.8333333	0.8333333	7	6
32	Neg1	-5	5	0	0	3	2
33	Neg1	-2	6	0.1666667	0.6666667	7	6
34	Neg1	-3	4	0.8333333	0.6666667	5	5
35	Neg1	-6	1	1	0	1	1
36	Neg1	4	4	0.5	0.8333333	6	7
37	Neg1	-2	5	0.8333333	0.8333333	7	7
38	Neg1	2	1	1	1	7	7
39	Neg1	-6	7	0.5	0	4	3
40	Neg1	-4	5	0.8333333	0.3333333	5	5
41	Neg1	2	5	0.6666667	0.6666667	4	4
42	Neg1	-4	3	0.5	0.8333333	5	3
43	Neg1	2	6	0.6666667	0.8333333	5	4
44	Neg1	6	5	0	0.5	5	1
45	Neg1	0	5	0	0.6666667	5	4
46	Neg1	0	4	0	0	5	5
47	Neg1	-1	5	0.5	0.5	5	5
48	Neg1	-4	5	0.3333333	0.6666667	5	5
49	Neg1	0	7	1	1	7	7
50	Neg1	-2	5	0	0	5	5
51	Neg1	-4	5	0	0.1666667	5	2
52	Neg1	-6	4	0	0	4	2
53	Neg1	-6	6	0.6666667	0.8333333	7	4
1	Neg4	-4	4	0.5	0.6666667	7	2
2	Neg4	-6	6	0.5	0.6666667	6	2
3	Neg4	-4	5	0.3333333	0.3333333	4	3
4	Neg4	-3	3	0.1666667	0.1666667	3	3
5	Neg4	-2	5	0.1666667	0.1666667	4	2
6	Neg4	3	5	0.6666667	0.6666667	5	4
7	Neg4	-4	5	0.3333333	0.3333333	6	4
8	Neg4	-3	4	0.8333333	0.6666667	6	5
9	Neg4	-2	3	0	0.3333333	5	2
10	Neg4	-5	5	0.6666667	0.6666667	5	5
11	Neg4	-5	2	0	0	1	1
12	Neg4	-6	5	0.8333333	0.6666667	5	4
13	Neg4	-5	4	0.1666667	0.5	3	2
14	Neg4	-3	3	0.6666667	0.6666667	5	4
15	Neg4	-6	7	0.1666667	0.3333333	6	2
16	Neg4	-5	6	1	0.1666667	6	2
17	Neg4	-2	5	0.6666667	0.8333333	6	4
18	Neg4	0	3	0	0.3333333	3	3
19	Neg4	-3	3	0	0	2	1
